Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00091;IP-телефон Yealink SIP-T19;;;239,39;;8517 18 00 00;Точний збіг: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - апарати телефонні VoIP
ЦДУ-00092;IP-телефон Yealink SIP-T21;;;265,47;;8517 18 00 00;Аналогія: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - всі IP-телефони VoIP
ЦДУ-00093;IP-телефон Yealink SIP-T21;;;265,42;;8517 18 00 00;Аналогія: (ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 18 00 00 - всі IP-телефони VoIP
ЦДУ-00094;Laser cuting machine MPS-X7C;;;450 278,37;;8456 11 90 00;Виправлення: Лазерний верстат для різання - код 8456 11 90 00 верстати лазерні інші
ЦДУ-00095;Laser Cutting System G3015MF-IPG1000;;;16 930,42;;8456 11 90 00;Аналогія: (ЦДУ-00094)Laser cuting machine має код 8456 11 90 00 - лазерні системи різання
ЦДУ-00096;Lenovo IdeaCentre AIO 720-24 IKB;;;3 663,33;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦБ-001732;Mould/  Набір молдів під нову моторну групу (6 шт) Заслонка адаптера;8487 90 57 00 ;Импортированный товар;23 666,67;Частини машин або механічних пристроїв;8480 71 00 00;Виправлення: Форми для лиття пластмас мають код 8480 71 00 00 а НЕ 8487 - це частини двигунів
ЦБ-001728;Mould/  Набір молдів під нову моторну групу (6 шт) Корпус вентилятора лівий;8487 90 57 00 ;Импортированный товар;23 666,67;Частини машин або механічних пристроїв;8480 71 00 00;Виправлення: Форми для лиття пластмас мають код 8480 71 00 00 а НЕ 8487 - це частини двигунів
ЦБ-001729;Mould/  Набір молдів під нову моторну групу (6 шт) Корпус вентилятора правий 140Вт;8487 90 57 00 ;Импортированный товар;23 666,67;Частини машин або механічних пристроїв;8480 71 00 00;Виправлення: Форми для лиття пластмас мають код 8480 71 00 00 а НЕ 8487 - це частини двигунів
ЦБ-001730;Mould/  Набір молдів під нову моторну групу (6 шт) Корпус вентилятора правий 150Вт;8487 90 57 00 ;Импортированный товар;23 666,66;Частини машин або механічних пристроїв;8480 71 00 00;Виправлення: Форми для лиття пластмас мають код 8480 71 00 00 а НЕ 8487 - це частини двигунів
ЦБ-001733;Mould/  Набір молдів під нову моторну групу (6 шт) Крильчатка;8487 90 57 00 ;Импортированный товар;23 666,67;Частини машин або механічних пристроїв;8480 71 00 00;Виправлення: Форми для лиття пластмас мають код 8480 71 00 00 а НЕ 8487 - це частини двигунів
ЦБ-001731;Mould/  Набір молдів під нову моторну групу (6 шт) Перехідник адаптера;8487 90 57 00 ;Импортированный товар;23 666,66;Частини машин або механічних пристроїв;8480 71 00 00;Виправлення: Форми для лиття пластмас мають код 8480 71 00 00 а НЕ 8487 - це частини двигунів
ЦДУ-00097;PoE-інжектор TENDA PoE15F 15W;;;72,42;;8517 62 00 00;Класифікація: Інжектор PoE для мережевого обладнання - код 8517 62 00 00 апаратура для передавання даних
ЦДУ-00098;Press brake WC67K-40/2500;;;0,01;;8462 21 10 00;Виправлення: Гідравлічний листозгинальний прес з ЧПК - код 8462 21 10 00 гнучкі преси гідравлічні
ЦДУ-00099;Samsung AR12HQFSAWKNER кондиціонер 3;;;1 516,35;;8415 10 90 00;Точний збіг: (ЦДУ-00100)Samsung AR12HQFSAWKNER має код 8415 10 90 00 - кондиціонери побутові спліт
ЦДУ-00100;Samsung AR12HQFSAWKNER кондиціонер 4;;;1 516,31;;8415 10 90 00;Класифікація: Побутовий кондиціонер спліт-система - код 8415 10 90 00 кондиціонери побутові
ЦДУ-00101;TOP SIDE PANEL комплект штампів для виготовлення верхньої панелі газової поверхні (1);;;8 986,81;;8207 30 10 90;Виправлення: Штампи для пресування металу - код 8207 30 10 90 інструменти для обробки металу
ЦДУ-00102;TOP SIDE PANEL комплект штампів для виготовлення верхньої панелі газової поверхні (1);;;8 986,81;;8207 30 10 90;Точний збіг: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 10 90 - ідентичний комплект штампів
ЦДУ-00103;TOP SIDE PANEL комплект штампів для виготовлення верхньої панелі газової поверхні (1);;;8 986,81;;8207 30 10 90;Точний збіг: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 10 90 - ідентичний комплект штампів
ЦДУ-00104;TOP SIDE PANEL комплект штампів для виготовлення верхньої панелі газової поверхні (1);;;8 986,81;;8207 30 10 90;Точний збіг: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 10 90 - ідентичний комплект штампів
ЦДУ-00105;TOP SIDE PANEL комплект штампів для виготовлення верхньої панелі газової поверхні (1);;;8 986,81;;8207 30 10 90;Точний збіг: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 10 90 - ідентичний комплект штампів
ЦДУ-00106;TOP SIDE PANEL комплект штампів для виготовлення верхньої панелі газової поверхні (4);;;17 337,03;;8207 30 10 90;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 10 90 - ідентичний комплект штампів
ЦДУ-00107;U-PROFILE молд;;;238,26;;8480 71 00 90;Виправлення: Форма для лиття U-профілю пластмасового - код 8480 71 00 90 форми для лиття пластмас інші
ЦДУ-00108;U-PROFILE молд;;;238,26;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00109;U-PROFILE молд;;;238,26;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00110;U-PROFILE молд;;;238,26;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00111;U-PROFILE молд;;;238,26;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00112;U-PROFILE молд;;;4 207,00;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00113;U-PROFILE молд;;;4 206,96;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00114;U-PROFILE молд;;;4 207,00;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00115;U-PROFILE молд;;;4 220,29;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00116;U-PROFILE молд;;;4 220,34;;8480 71 00 90;Точний збіг: (ЦДУ-00107)U-PROFILE молд має код 8480 71 00 90 - ідентична форма для лиття
ЦДУ-00117;WI-FI точка доступу MikroTik RB951G-2HnD;;;489,50;;8517 62 00 00;Класифікація: Точка доступу Wi-Fi - код 8517 62 00 00 апаратура передавання даних безпровідна
ЦДУ-00118;WiFi-адаптер ASUS USB-N53 802.11 a/n 300 Mbps;;;124,99;;8517 62 00 00;Аналогія: (ЦДУ-00117)Wi-Fi точка доступу має код 8517 62 00 00 - мережеві адаптери бездротові
ЦДУ-00119;Автозагрузчик 300 G;;;2 291,67;;8428 39 00 00;Класифікація: Автоматичний завантажувач для обладнання - код 8428 39 00 00 машини для підіймання вантажів
ЦДУ-00120;автозагрузчик STL700 (Auto loader: STL700);;;0,01;;8428 39 00 00;Аналогія: (ЦДУ-00119)Автозагрузчик має код 8428 39 00 00 - автоматичний завантажувач
ЦДУ-00121;Автокомпресор Solar AR204;;;73,70;;8414 80 80 00;Виправлення: Автомобільний компресор - код 8414 80 80 00 компресори повітряні інші
ЦДУ-00122;Автокомпресор Solar AR204;;;73,65;;8414 80 80 00;Точний збіг: (ЦДУ-00121)Автокомпресор Solar AR204 має код 8414 80 80 00 - ідентичний компресор
ЦДУ-00123;Автомобіль FORD Transit_Ford Transit Minibus R410L3H2 Trend 2.0 Ecoblue TDCi130PS MT6-220-WF0MXXTTRM;;;1 208 333,33;;8702 10 91 00;Виправлення: Мікроавтобус FORD Transit для перевезення 10+ осіб - код 8702 10 91 00 автобуси дизельні нові
ЦДУ-00127;Автостоянка;;;52 897,26;;9406 90 00 00;Виправлення: Споруда автостоянка - код 9406 90 00 00 конструкції збірні будівельні інші
ЦДУ-00128;Автотранформатор TDGC-0.5 (2A);;;372,40;;8504 33 00 00;Класифікація: Автотрансформатор регульований - код 8504 33 00 00 трансформатори електричні малої потужності
ЦДУ-00129;Автохолодильник TR-124A (12V/230V);;;145,84;;8418 21 10 00;Виправлення: Автомобільний холодильник - код 8418 21 10 00 холодильники побутові компресійні
ЦДУ-00130;Агрегат насосний К80-50-200(К45/55)ел.двиг.15квт 3000об/хв;;;2 158,20;;8413 70 89 00;Виправлення: Насосний агрегат відцентровий - код 8413 70 89 00 насоси відцентрові інші
ЦДУ-00131;Агрегат насосний К80-50-200(К45/55)ел.двиг.15квт 3000об/хв;;;2 158,20;;8413 70 89 00;Точний збіг: (ЦДУ-00130)Агрегат насосний має код 8413 70 89 00 - ідентичний агрегат
ЦДУ-00132;Агрегат підготовки поверхні перед порошковим фарбуванням, комбінований;;;0,01;;8424 89 00 00;Виправлення: Установка для підготовки поверхні - код 8424 89 00 00 механічні пристрої для розпилення
ЦДУ-00133;Адаптер Z-2 USB 1;;;0,01;;8517 62 00 00;Класифікація: USB адаптер для передачі даних - код 8517 62 00 00 апаратура для передавання даних
ЦДУ-00134;Акумулятор пара (лінія пінопласту);;;3 437,50;;8419 89 98 00;Класифікація: Акумулятор пари для технологічної лінії - код 8419 89 98 00 обладнання для обробки парою
ЦДУ-00135;Акумулятор пара (січень 2015р.);;;0,01;;8419 89 98 00;Аналогія: (ЦДУ-00134)Акумулятор пара має код 8419 89 98 00 - акумулятор пари
ЦДУ-00136;Акумулятор пара АПГ-1000;;;51 813,65;;8419 89 98 00;Аналогія: (ЦДУ-00134)Акумулятор пара має код 8419 89 98 00 - промисловий акумулятор пари
ЦДУ-00137;Акумуляторна батарея CSB12B7.2 Ач;;;156,29;;8507 20 80 00;Класифікація: Акумуляторна батарея свинцева - код 8507 20 80 00 акумулятори електричні свинцеві
ЦБ-003351;Акумуляторний дриль-гайковерт Bosch GDR 120 - Li;8467 21 10 00 ;Импортированный товар;2 507,50;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003304;Акумуляторний дриль-шуруповерт Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;932,75;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003305;Акумуляторний дриль-шуруповерт Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;932,75;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦДУ-00138;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100) / зборка 1;;;617,45;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00139;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100) / зборка 2;;;617,45;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00140;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100) / зборка 3;;;617,45;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00141;Акумуляторний дриль-шурепокрут Bosch Professional GSR 180-LI (0619F8100)- зборка 1;;;577,96;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00142;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100)- зборка 2;;;577,96;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00143;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100)- зборка 3;;;577,96;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00144;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100)/1;;;577,96;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦДУ-00145;Акумуляторний дриль-шурупокрут Bosch Professional GSR 180-LI (0619F8100)/зварка 1;;;577,96;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти
ЦБ-003329;Акумуляторний дриль-шурупокрут Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;844,67;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003330;Акумуляторний дриль-шурупокрут Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;844,67;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003347;Акумуляторний дриль-шурупокрут Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;903,00;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003348;Акумуляторний дриль-шурупокрут Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированний товар;903,00;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003275;Акумуляторний дриль-шурупокрут Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;910,00;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦБ-003276;Акумуляторний дриль-шурупокрут Dnipro-M CD-120HQ;8467 21 10 00 ;Импортированный товар;910,00;Дрилі всіх видів з електричним двигуном;8467 21 10 00;Залишити: Код правильний - дрилі акумуляторні з електричним двигуном
ЦДУ-00146;Акумуляторний інструмент (шуруповерт METABO BS 14,4 Li);;;773,44;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні шуруповерти
ЦДУ-00147;Акумуляторний інструмент (шуруповерт METABO BS 14,4 Li);;;773,44;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні шуруповерти
ЦДУ-00148;Акумуляторний інструмент (шуруповерт METABO BS 14,4 Li);;;1 082,72;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні шуруповерти
ЦДУ-00149;Акумуляторний інструмент BOSH GSR 12-2;;;711,56;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
ЦДУ-00150;Акумуляторний інструмент BOSH GSR 12-2;;;711,56;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
ЦДУ-00151;Акумуляторний інструмент BOSH GSR 12-2;;;711,56;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
ЦДУ-00152;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00153;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00154;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;576,58;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00155;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00156;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00157;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00158;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00159;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00160;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00161;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;576,58;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00162;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;576,58;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00163;Акумуляторний інструмент GSR 12-2 V BR+набір бит;;;610,50;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти з набором
ЦДУ-00164;Акумуляторний шурупокрут BOSCH Li-lon GSR 1800-LI 1;;;577,31;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
ЦДУ-00165;Акумуляторний шурупокрут BOSCH Li-lon GSR 1800-LI 2;;;577,31;;8467 21 10 00;Аналогія: (ЦБ-003351)Акумуляторний дриль-гайковерт Bosch має код 8467 21 10 00 - акумуляторні електроінструменти Bosch
