Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00830;Пенал індивідуальний (бук);;;168,48;;9403 60 90 00;(ЦДУ-00828)Аналогічний пенал має код 9403 60 90 00
ЦДУ-00831;Перегородка в лазерной;;;1 616,98;;9406 90 99 00;Будівельна конструкція - перегородки для приміщень
ЦДУ-00832;Перетворювач частоти 15кВт 380 В, ESMD153L4TX;;;0,01;;8504 40 82 00;Перетворювач частоти електричний - статичні перетворювачі
ЦДУ-00833;Персональний комп'ютер ARTLINE Business B10 v;;;802,91;;8471 41 00 00;Настільний ПК - комп'ютери автоматичні в одному корпусі
ЦДУ-00834;Персональний комп'ютер ARTLINE Business B21 v0;;;832,98;;8471 41 00 00;(ЦДУ-00833)Аналогічний настільний ПК має код 8471 41 00 00
ЦДУ-00835;"Персональний комп'ютер-моноблок Dell Inspiron 3464 23.8""FHD NT IOS Intel";;;4 966,69;;8471 30 00 00;(ЦДУ-00082)Dell Inspiron моноблок має код 8471 30 00 00 - комп'ютери портативні до 10 кг
ЦДУ-00836;Перфоратор Makita HR4001C;;;0,01;;8467 21 99 00;Перфоратор електричний мережевий - дрилі з електричним двигуном
ЦДУ-00837;Пила Макіta 2414NB;;;1 280,49;;8467 22 30 00;Пила дискова електрична - електропили
ЦДУ-00838;Пила Макіta 2414NB;;;1 739,97;;8467 22 30 00;(ЦДУ-00837)Аналогічна пила має код 8467 22 30 00
ЦДУ-00839;Пила Циркулярна MAKITA 5903R;;;1 512,50;;8467 22 30 00;(ЦДУ-00837)Циркулярна пила має код 8467 22 30 00 - пилки дискові електричні
ЦДУ-00840;Пилесос Metabo ASR50LSC;;;812,65;;8508 11 00 00;(ЦДУ-00845)Промисловий пилосос має код 8508 11 00 00 - пилососи потужністю до 1500 Вт
ЦДУ-00841;Пилка ланцюгова бензинова MTD GCS 4100/40+ Ланцюг Oregon, + Мастило 2-тактне MOL dynamic Sprint АХО;;;464,07;;8467 81 00 00;(ЦДУ-00197)Бензопила має код 8467 81 00 00 - пилки ланцюгові з неелектричним двигуном
ЦДУ-00842;Пилка стрічкова по металу;;;3 139,59;;8461 40 00 00;Стрічкова пила для металу - верстати для різання металу
ЦДУ-00843;Пилка циркулярна DeWalt , ручна ,1600 Вт диск 190х30 мм;;;0,01;;8467 22 30 00;(ЦДУ-00839)Циркулярна пила має код 8467 22 30 00
ЦДУ-00844;Пилосмок мультициклонний ЕVC-3650;;;192,59;;8508 11 00 00;Промисловий пилосос - електропилососи побутові та промислові
ЦДУ-00845;Пилосос Metabo ASR 50 L SC;;;3 754,44;;8508 11 00 00;Промисловий пилосос потужністю до 1500 Вт
ЦДУ-00846;Пилосос Metabo ASR 50 L SC;;;3 754,44;;8508 11 00 00;(ЦДУ-00845)Аналогічний пилосос має код 8508 11 00 00
ЦДУ-00847;Пилосос MIR 1515 230/240-5/6РRT(1.38кВт) з аксес.;;;2 898,96;;8508 11 00 00;(ЦДУ-00845)Промисловий пилосос має код 8508 11 00 00
ЦДУ-00848;Пилосос MIRAGE ST 1629 S2/240-5/60;;;2 804,45;;8508 11 00 00;(ЦДУ-00845)Промисловий пилосос має код 8508 11 00 00
ЦДУ-00849;Пилосос SS1401, 1250 Вт, 230В, потік повітря 60 л/с 25л. 7,7 кг;;;1 382,70;;8508 11 00 00;(ЦДУ-00845)Пилосос 1250 Вт має код 8508 11 00 00 - до 1500 Вт
ЦДУ-00850;Пилосос Vertex VR-1600;;;362,95;;8508 19 00 00;Пилосос побутовий - електропилососи інші
ЦДУ-00851;Підлогова вішалка Новий стиль Cactus Alu;;;81,03;;9403 20 00 00;Меблі металеві для офісу - меблі інші металеві
ЦДУ-00852;Пірометр AXIOMET AX-7530;;;457,19;;9025 19 80 00;Пірометр безконтактний - прилади вимірювальні температури
ЦДУ-00853;Пістолет гарячого повітря DeWalt 1800 Вт;;;0,01;;8516 79 70 00;(ЦБ-001713)ПОВІТРОДУВКА має код 8516 79 70 00 - прилади електротермічні побутові
ЦДУ-00854;"Пістолет обдув. ""СТАРТ-50""";;;1 604,17;;8467 89 00 00;Пневматичний пістолет для обдування - інструменти ручні пневматичні
ЦДУ-00855;"Пістолет обдув. ""СТАРТ-50""-2";;;2 108,34;;8467 89 00 00;(ЦДУ-00854)Аналогічний пістолет має код 8467 89 00 00
ЦДУ-00856;Пістолети пневматичні;;;1 762,02;;8467 89 00 00;Інструменти ручні пневматичні
ЦДУ-00857;Пістолети пневматичні;;;1 762,02;;8467 89 00 00;(ЦДУ-00856)Аналогічні пістолети мають код 8467 89 00 00
ЦДУ-00858;Пістолети пневматичні;;;1 762,06;;8467 89 00 00;(ЦДУ-00856)Аналогічні пістолети мають код 8467 89 00 00
ЦБ-003352;Піч мікрохвильова побутова Toshiba MW-MM20P(WH)-P;8516500000    ;Импортированный товар;1 341,08;Кавоварки та чайники електричні;8516 50 00 00;Код правильний - мікрохвильова піч побутова
ЦДУ-00859;Піч полімеризації електрична вертикальная авто;;;0,01;;8514 30 00 00;Промислова піч електрична для термообробки - печі промислові
ЦДУ-00860;Піч сушки перед порошковим фарбуванням електрична;;;0,01;;8514 30 00 00;(ЦДУ-00859)Промислова піч має код 8514 30 00 00
ЦДУ-00861;Пічь муфельна СНОЛ 30/1300 И4А;;;5 027,37;;8514 30 00 00;(ЦДУ-00859)Муфельна піч має код 8514 30 00 00 - печі промислові електричні
ЦДУ-00862;ПК-моноблок ASUS V221IDUK-BA011D 21.5FHD/Inter Pen;;;2 619,06;;8471 30 00 00;(ЦДУ-00096)Lenovo IdeaCentre AIO моноблок має код 8471 30 00 00 - комп'ютери портативні
ЦДУ-00863;"ПК-моноблок Dell Inspiron 3464 23.8""";;;4 395,93;;8471 30 00 00;(ЦДУ-00835)Dell Inspiron моноблок має код 8471 30 00 00
ЦДУ-00864;"ПК-моноблок Dell Inspiron 3464 23.8""";;;4 395,93;;8471 30 00 00;(ЦДУ-00835)Dell Inspiron моноблок має код 8471 30 00 00
ЦДУ-00865;"ПК-моноблок HP Pro 3520 20"" Intel G2030 500GB 2GB DVD-RW int WF web kb m DOS";;;3 323,93;;8471 30 00 00;Моноблок HP - комп'ютери портативні (all-in-one до 10 кг)
ЦДУ-00866;"ПК-моноблок HP Pro 3520 20"" Intel G2030 500GB 2GB DVD-RW int WF web kb m DOS";;;3 323,98;;8471 30 00 00;(ЦДУ-00865)Аналогічний моноблок має код 8471 30 00 00
ЦДУ-00867;Плита РР-Н AlphaPlus сіра екструд. 2000х1000х50 з 1 стор. захисною плівкою;;;2 267,56;;3920 20 10 00;Плита з поліпропілену - вироби з пластмас листові
ЦДУ-00868;Плита РРН сіра екструд. 3000х1500х15 ммз 1 стор. захисною плівкою;;;1 260,46;;3920 20 10 00;(ЦДУ-00867)Плита поліпропіленова має код 3920 20 10 00
ЦДУ-00869;Плоскошліфовальний станок Euro Omega SG-8035;;;0,01;;8460 24 00 00;Плоскошліфувальний верстат - верстати шліфувальні для обробки металу
ЦДУ-00870;Пневматична машина для розливу рідини SFGG-100KZ;;;7 260,01;;8422 30 00 00;Машина для розливу рідини - обладнання для наповнення
ЦДУ-00871;Пневматичний аплікатор W EPX 490 ML;;;966,03;;8467 89 00 00;Пневматичний інструмент для нанесення - інструменти ручні пневматичні
ЦБ-001718;"Пневмозаклепочник  JAT 6034   (3\2-3\16(2,4;3,2;4,8)";8467          ;Товар;1 735,83;Інструменти ручні з вбудованим електричним або неелектричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 - пневматичні інструменти для заклепування
ЦБ-001719;"Пневмозаклепочник  JAT 6034   (3\2-3\16(2,4;3,2;4,8)";8467          ;Товар;1 735,84;Інструменти ручні з вбудованим електричним або неелектричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 - пневматичні інструменти для заклепування
ЦБ-001720;"Пневмозаклепочник  JAT 6034   (3\2-3\16(2,4;3,2;4,8)";8467          ;Товар;1 735,83;Інструменти ручні з вбудованим електричним або неелектричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 - пневматичні інструменти для заклепування
ЦБ-003340;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;Дрилі всіх видів з електричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 19 00 00 - це ПНЕВМАТИЧНИЙ заклепувач, а НЕ дриль
ЦБ-003341;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;Дрилі всіх видів з електричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 19 00 00 - це ПНЕВМАТИЧНИЙ заклепувач, а НЕ дриль
ЦБ-003349;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;Дрилі всіх видів з електричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 19 00 00 - це ПНЕВМАТИЧНИЙ заклепувач, а НЕ дриль
ЦБ-003350;"Пневмозаклепочник  JATO YT-36171   (3\2-3\16(2,4;3,2;4,8)";8467190000    ;Импортированный товар;1 575,00;Дрилі всіх видів з електричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 19 00 00 - це ПНЕВМАТИЧНИЙ заклепувач, а НЕ дриль
ЦБ-003430;"Пневмозаклепочник 3/2-3/16 (2,4;3,2;4,8)";8467190000    ;Импортированный товар;2 583,33;Дрилі всіх видів з електричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 19 00 00 - це ПНЕВМАТИЧНИЙ заклепувач, а НЕ дриль
ЦБ-003331;"Пневмозаклепочник ANDRMAX AT 6015   (2,4;3,2;4,8)";8467          ;Товар;1 756,66;Інструменти ручні з вбудованим електричним або неелектричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 - пневматичні інструменти для заклепування
ЦБ-003332;"Пневмозаклепочник ANDRMAX AT 6015   (2,4;3,2;4,8)";8467          ;Товар;1 756,67;Інструменти ручні з вбудованим електричним або неелектричним двигуном;8467 11 00 00;Правильний код 8467 11 00 00 а НЕ 8467 - пневматичні інструменти для заклепування
ЦДУ-00872;Пневмозаклепувач 3/2-3/16;;;483,50;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00 - пневматичні інструменти
ЦДУ-00873;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00874;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00875;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00876;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00877;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;483,50;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00878;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00879;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;557,79;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00880;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;557,79;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00881;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00882;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм)";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00883;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 1";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00884;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 2";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00885;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 3";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00886;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / 4";;;495,29;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00887;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / контак. зварка";;;418,35;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00888;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / контак. зварюваня 2";;;418,35;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00889;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / сварка 1";;;418,35;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00890;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) / сварка 2";;;418,35;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00891;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка";;;521,58;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00892;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка 1";;;521,58;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00893;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка 2";;;521,58;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00894;"Пневмозаклепувач 3/2-3/16 (2,4;3,2;4,8 мм) зборка 3";;;521,58;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦДУ-00895;Пневмозаклепувач 3/2-3/16, 1,48;;;483,50;;8467 11 00 00;(ЦБ-001718)Пневмозаклепочник має код 8467 11 00 00
ЦБ-001713;ПОВІТРОДУВКА GHG 23-66 +AC;8516 79 70 00 ;Импортированный товар;1 823,33;Електротермічні прилади побутові, інші;8516 79 70 00;Код правильний - електротермічний прилад побутовий
ЦДУ-00896;Повітронагрівач ПНП211-304;;;0,01;;8516 29 90 00;Повітронагрівач електричний промисловий - апарати електронагрівальні
ЦДУ-00897;Повітряна елетролінія ПЛ -10кВ;;;3 919,00;;8544 49 90 00;Електролінія - дроти та кабелі електричні
ЦДУ-00898;Повітряно-гідравлічний прес ЧПУ НРВ 30/1300 NC-E2;;;0,01;;8462 39 00 00;(ЦДУ-00098)Press brake має код 8462 39 00 00 - преси гідравлічні листозгинальні
ЦДУ-00899;Поворотно-згинальний станок МРВ2500х2,5+Запчастини до Поворотно-згинального станка МРВ2500х2,5;;;632 252,83;;8462 39 00 00;Листозгинальний верстат - преси для обробки металу гнуттям
ЦДУ-00900;Пожежний резервуар ливарного цеху;;;3 193,43;;7309 00 90 00;Резервуар металевий - ємності для зберігання
ЦДУ-00901;Пожежний резервуар механоскладального цеху;;;3 801,66;;7309 00 90 00;(ЦДУ-00900)Резервуар металевий має код 7309 00 90 00
