Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00605;Кондиціонер AUX ASW-H18A4(2);;;1 451,09;;8415 10 90 00;Аналогія: (ЦДУ-00604)Кондиціонер AUX ASW-H18A4 має код 8415 10 90 00 - ідентичний кондиціонер
ЦДУ-00606;Кондиціонер AUX ASW-H24A4;;;1 893,52;;8415 10 90 00;Аналогія: (ЦДУ-00601)Кондиціонер AUX має код 8415 10 90 00 - кондиціонери AUX
ЦДУ-00607;Кондиціонер AUX ASW-H24A4(2);;;1 908,23;;8415 10 90 00;Аналогія: (ЦДУ-00606)Кондиціонер AUX ASW-H24A4 має код 8415 10 90 00 - ідентичний кондиціонер
ЦДУ-00608;Кондиціонер Haier;;;1 218,97;;8415 10 90 00;Класифікація: Кондиціонер побутовий Haier - код 8415 10 90 00 машини кондиціонування повітря
ЦДУ-00609;Кондиціонер Samsung AR12HQFSAWKNER;;;1 516,35;;8415 10 90 00;Аналогія: (ЦДУ-00099)Samsung AR12HQFSAWKNER має код 8415 10 90 00 - кондиціонери Samsung
ЦДУ-00610;Кондиціонер Наіеr;;;1 218,97;;8415 10 90 00;Аналогія: (ЦДУ-00608)Кондиціонер Haier має код 8415 10 90 00 - кондиціонери Haier
ЦДУ-00611;Контактна точкова зварка Eur Omega DN 25 №1;;;0,01;;8515 21 00 00;Класифікація: Апарат зварювальний точковий - код 8515 21 00 00 машини для контактного зварювання металів
ЦДУ-00612;Контактна точкова зварка Eur Omega DN 25 №2;;;0,01;;8515 21 00 00;Аналогія: (ЦДУ-00611)Контактна зварка має код 8515 21 00 00 - точкова зварка
ЦДУ-00613;Контактна точкова зварка Eur Omega DN 25 №3;;;0,01;;8515 21 00 00;Аналогія: (ЦДУ-00611)Контактна зварка має код 8515 21 00 00 - точкова зварка
ЦДУ-00614;Контактна точкова зварка Eur Omega DN 25 №4;;;0,01;;8515 21 00 00;Аналогія: (ЦДУ-00611)Контактна зварка має код 8515 21 00 00 - точкова зварка
ЦДУ-00615;Контактна точкова зварка Eur Omega DN 25 №5;;;0,01;;8515 21 00 00;Аналогія: (ЦДУ-00611)Контактна зварка має код 8515 21 00 00 - точкова зварка
ЦДУ-00616;Копі-картридж Xerox (101R00432) WC 5016/5020;;;589,88;;8443 99 10 00;Класифікація: Копі-картридж для копіра Xerox - код 8443 99 10 00 частини машин друкувальних
ЦДУ-00617;Коректор КПЛГ-1.02Р;;;0,01;;9031 80 98 00;Класифікація: Коректор вимірювальний - код 9031 80 98 00 інструменти вимірювальні
ЦДУ-00618;"Корпус для 3,5"" HDD/SDD CHIEFTEC External Box CEB-7035S";;;174,53;;8473 30 80 00;Класифікація: Корпус зовнішній для жорсткого диска - код 8473 30 80 00 частини для машин обчислювальних
ЦДУ-00619;Котел газовий Атон АОГВД 50х №1;;;3 605,53;;8403 10 90 00;ВИПРАВЛЕНО: Котел опалювальний газовий - код 8403 10 90 00 котли для центрального опалення інші
ЦДУ-00620;Котел газовий Атон АОГВД 50х №3;;;3 605,58;;8403 10 90 00;ВИПРАВЛЕНО: (ЦДУ-00619)Котел газовий Атон має код 8403 10 90 00 - котли газові опалювальні
ЦДУ-00621;Котел газовый Атон АОГВД 50х №2;;;3 605,58;;8403 10 90 00;ВИПРАВЛЕНО: (ЦДУ-00619)Котел газовий Атон має код 8403 10 90 00 - котли газові опалювальні
ЦДУ-00622;Котел Е 1,0-0,9Р;;;0,01;;8403 10 90 00;ВИПРАВЛЕНО: Котел має код 8403 10 90 00 - котли опалювальні
ЦДУ-00623;Котел КОГВ-96;;;0,01;;8403 10 90 00;ВИПРАВЛЕНО: Котел має код 8403 10 90 00 - котли опалювальні
ЦДУ-00624;Котел опалювальний сталевий водогрійний БТС-360 М;;;128 066,58;;8402 20 00 00;ВИПРАВЛЕНО: Котел водогрійний промисловий - код 8402 20 00 00 котли перегрітої води
ЦДУ-00625;Котел опалювальний сталевий водогрійний БТС-500 М;;;113 427,81;;8402 20 00 00;ВИПРАВЛЕНО: (ЦДУ-00624)Котел БТС має код 8402 20 00 00 - промислові водогрійні котли
ЦДУ-00626;Кран підкатний гідравлічний 1Т ТЗ1002;;;0,01;;8425 42 00 00;ВИПРАВЛЕНО: Кран підкатний гідравлічний - код 8425 42 00 00 домкрати та підіймачі гідравлічні
ЦБ-003173;Крісло  соната С-38 12;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003174;Крісло  соната С-38 13;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003175;Крісло  соната С-38 14;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003176;Крісло  соната С-38 15;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003177;Крісло  соната С-38 16;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003178;Крісло  соната С-38 17;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003179;Крісло  соната С-38 18;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003180;Крісло  соната С-38 19;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003163;Крісло  соната С-38 2;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003181;Крісло  соната С-38 20;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003182;Крісло  соната С-38 21;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003183;Крісло  соната С-38 22;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003184;Крісло  соната С-38 23;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003185;Крісло  соната С-38 24;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003164;Крісло  соната С-38 3;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003165;Крісло  соната С-38 4;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003166;Крісло  соната С-38 5;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003167;Крісло  соната С-38 6;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003168;Крісло  соната С-38 7;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003169;Крісло  соната С-38 8;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
ЦБ-003170;Крісло  соната С-38 9;9403          ;Товар;644,00;;9401 71 00 00;ВИПРАВЛЕНО: Крісло офісне оббите - код 9401 71 00 00 меблі для сидіння оббиті металеві
