Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦБ-001671;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 2";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003214;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 20";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003215;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 21";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003216;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 22";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-001672;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 3";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-001673;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 4";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-001674;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 5";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-001675;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 6";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-001676;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 7";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-001677;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 8";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003203;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 9";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦДУ-01109;Стіл 1;;;3 848,82;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01110;Стіл 2;;;2 707,46;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01111;Стіл 3;;;2 762,84;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01112;Стіл 4;;;3 312,08;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01113;Стіл 5;;;4 400,83;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01114;Стіл вібраційний просівний;;;274,27;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01115;Стіл для збирання дверей мод. 105-308;;;669,99;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01428;Стіл для склейки дверей мод. 105-308;;;0,01;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-00081;Стіл для установки рамки шафи;;;0,01;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01116;Стіл Індивідуальний (дуб родосс світлий);;;589,46;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01117;Стіл Індивідуальний (дуб родосс світлий);;;589,51;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01118;Стіл комбінований;;;835,59;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01119;Стіл порізочний;;;0,01;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦДУ-01120;Стілець офісний ИЗО хром С11;;;95,89;;9403 70 00 00;(ЦДУ-01120)Стілець офісний має код 9403 - меблі офісні з інших матеріалів
ЦДУ-01121;Стілець офісний ИЗО хром С11;;;95,89;;9403 70 00 00;(ЦДУ-01120)Стілець офісний має код 9403 - меблі офісні з інших матеріалів
ЦДУ-01122;Стілець офісний ИЗО хром С11;;;95,89;;9403 70 00 00;(ЦДУ-01120)Стілець офісний має код 9403 - меблі офісні з інших матеріалів
ЦДУ-01123;Стілець офісний ИЗО хром С11;;;95,89;;9403 70 00 00;(ЦДУ-01120)Стілець офісний має код 9403 - меблі офісні з інших матеріалів
ЦДУ-01124;Стілець офісний ИЗО хром С11;;;95,89;;9403 70 00 00;(ЦДУ-01120)Стілець офісний має код 9403 - меблі офісні з інших матеріалів
ЦДУ-01125;Стілець офісний ИЗО хром С11;;;95,89;;9403 70 00 00;(ЦДУ-01120)Стілець офісний має код 9403 - меблі офісні з інших матеріалів
ЦДУ-01126;Стрепінг машина;;;0,01;;8422 30 00 00;Машина для пакування - обладнання для упаковки товарів
ЦДУ-01127;Стрічкова пила SMALL 300;;;0,01;;8465 95 00 00;Пила стрічкова - верстат для обробки деревини
ЦДУ-01128;Таль електрична міні 220В,50Гц,500кг*12м;;;1 048,64;;8425 31 00 00;(ЦДУ-01128)Таль електрична має код 8425 31 00 00 - підйомне обладнання з електроприводом
ЦДУ-01129;Таль ручна ланцюгова 2тх3м;;;336,37;;8425 39 00 00;(ЦДУ-01129)Таль ручна має код 8425 39 00 00 - підйомне обладнання з ручним приводом
ЦДУ-01130;Таль ручна ланцюгова 2тх3м;;;449,39;;8425 39 00 00;(ЦДУ-01129)Таль ручна має код 8425 39 00 00 - підйомне обладнання з ручним приводом
ЦДУ-01131;Таль ручна шестерні стаціонарна г / п-2,0тн, Н-6,0;;;857,08;;8425 39 00 00;(ЦДУ-01129)Таль ручна має код 8425 39 00 00 - підйомне обладнання з ручним приводом
ЦДУ-01132;Телевізор Romsat 55UMT16512T2;;;2 499,98;;8528 72 00 00;(ЦДУ-01132)Телевізор має код 8528 72 00 00 - телевізор з рідкокристалічним екраном
ЦДУ-01133;Телефон NOKIA 2220;;;295,44;;8517 11 00 00;(ЦДУ-01133)Телефон має код 8517 11 00 00 - телефони для дротового зв'язку
ЦДУ-01134;Телефон Panasonic;;;195,04;;8517 11 00 00;(ЦДУ-01133)Телефон має код 8517 11 00 00 - телефони для дротового зв'язку
ЦДУ-01135;Телефон SIP-W52P;;;744,75;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01136;Телефон SIP-Т19 Е2;;;341,31;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01137;Телефон SIP-Т19 Е2;;;354,61;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01138;Телефон SIP-Т19 Е2;;;323,77;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01139;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01140;Телефон SIP-Т19 Е2;;;344,58;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01141;Телефон SIP-Т19 Е2;;;369,42;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01142;Телефон SIP-Т19 Е2;;;369,42;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01143;Телефон SIP-Т19 Е2;;;354,61;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01144;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01145;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01146;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01147;Телефон SIP-Т19 Е2;;;354,84;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01148;Телефон SIP-Т19 Е2;;;465,90;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01149;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01150;Телефон SIP-Т19 Е2;;;372,17;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01151;Телефон SIP-Т19 Е2;;;312,13;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01152;Телефон SIP-Т19 Е2;;;465,94;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01153;Телефон SIP-Т19 Е2;;;312,13;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01154;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01155;Телефон SIP-Т19 Е2;;;323,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01156;Телефон SIP-Т19 Е2;;;465,90;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01157;Телефон SIP-Т19 Е2;;;372,17;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01158;Телефон SIP-Т19 Е2;;;372,17;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01159;Телефон SIP-Т21P Е2;;;425,98;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01160;Телефон Yealink SIP-Т19 Е2;;;369,42;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01161;Телефон Yealink SIP-Т19 Е2;;;369,42;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01162;Телефон-SIP-T19 E2;;;376,38;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01163;Телефон-SIP-T19 E2;;;376,38;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01164;Телефон-SIP-T19P;;;430,92;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01165;Телефон-SIP-T19PE2;;;370,15;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01166;Телефон-SIP-T19PE2;;;378,72;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01167;Телефон-SIP-T19PE2;;;412,73;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01168;Телефон-SIP-T21;;;385,00;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01169;Телефон-SIP-T21;;;385,00;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01170;Телефон-SIP-T21;;;385,00;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01171;Телефон-SIP-T21PE2;;;446,92;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01172;Телефон-SIP-W52Р;;;870,33;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01173;Телефон-SIP-Т19 E2;;;344,58;;8517 11 00 00;(ЦДУ-00084)IP-телефон Yealink SIP-T19 має код 8517 11 00 00 - телефони для дротового зв'язку з бездротовою трубкою
ЦДУ-01174;Тепловентилятор 12/6 кВт №1;;;1 176,08;;8516 29 10 00;(ЦДУ-01174)Тепловентилятор має код 8516 29 10 00 - електричні прилади для обігріву
ЦДУ-01175;Тепловентилятор 12/6 кВт №2;;;1 176,08;;8516 29 10 00;(ЦДУ-01174)Тепловентилятор має код 8516 29 10 00 - електричні прилади для обігріву
ЦДУ-01176;Тепловентилятор 12/6 кВт №3;;;1 176,08;;8516 29 10 00;(ЦДУ-01174)Тепловентилятор має код 8516 29 10 00 - електричні прилади для обігріву
