Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00732;Молд для адаптора воздуховода Д120;;;0,01;;8480 71 00 00;Форма для лиття пластмасової деталі (адаптор повітроводу) - код 8480 71 00 00 (Форми для лиття або пресування пластмас).
ЦДУ-00733;Молд для аккумуляторов холода;;;0,01;;8480 71 00 00;Форма для лиття акумуляторів холоду - код 8480 71 00 00 за аналогією з ЦДУ-01605.
ЦДУ-01605;Молд для аккумуляторов холода Kemping 400;8480 71 00 90 ;Импортированный товар;1 794,58;Форми для литва під тиском;8480 71 00 00;Правильний код 8480 71 00 00 а НЕ 8480 71 00 90 - форма для лиття пластмасових акумуляторів холоду.
ЦДУ-01606;Молд для аккумуляторов холода Kemping 400 (1);8480 71 00 90 ;Импортированный товар;1 794,58;Форми для литва під тиском;8480 71 00 00;Правильний код 8480 71 00 00 а НЕ 8480 71 00 90 - форма для лиття пластмасових акумуляторів холоду.
ЦДУ-00734;Молд для виробництва кронштейна панелі освітлення TL1000;;;0,01;;8480 71 00 00;Форма для лиття пластмасового кронштейна - код 8480 71 00 00.
ЦДУ-00735;Молд для виробництва кронштейна фільтра;;;0,01;;8480 71 00 00;Форма для лиття пластмасового кронштейна - код 8480 71 00 00.
ЦДУ-00736;Молд для втулки;;;0,01;;8480 71 00 00;Форма для лиття пластмасової втулки - код 8480 71 00 00.
ЦДУ-00737;Молд для пелюстков адаптора воздуховода Д120;;;0,01;;8480 71 00 00;Форма для лиття пластмасових пелюсток адаптора - код 8480 71 00 00.
ЦДУ-00738;Молд для пластикової засувки жирового фільтра;;;1 233,29;;8480 71 00 00;Форма для лиття пластмасової засувки - код 8480 71 00 00.
ЦДУ-00739;молд на ABS заглушку;;;0,01;;8480 71 00 00;Форма для лиття ABS-пластикової заглушки - код 8480 71 00 00.
ЦБ-003128;Молд на крыльчатку (WH);7326909890    ;Импортированный товар;6 000,00;;8480 71 00 00;Правильний код 8480 71 00 00 а НЕ 7326909890 - це ФОРМА для лиття крильчатки з пластмаси, а не металевий виріб.
ЦДУ-00740;Молд на ПП комутаційну кришку ПП корпусу двомоторної витяжки TL;;;0,01;;8480 71 00 00;Форма для лиття пластмасової кришки - код 8480 71 00 00.
ЦДУ-00741;Молд на ПП корпус двомоторної витяжки;;;0,01;;8480 71 00 00;Форма для лиття пластмасового корпусу - код 8480 71 00 00.
ЦДУ-00742;Молоток відбійний DEWalt, 30мм, шестигран.патрон,1600Вт, 35Дж.ю 16,9кг+зубило;;;4 237,07;;8467 29 20 00;Електричний відбійний молоток - код 8467 29 20 00 (Інструменти електромеханічні з вбудованим двигуном).
ЦДУ-00743;Монітор 1,9 Acer K202HQLb;;;471,72;;8528 52 10 00;(К0007297)Монітор Acer має код 8528 52 10 00 - Монітори кольорові з діагоналлю до 43,2 см.
ЦДУ-00744;Монітор 1,9 Acer K202HQLb;;;476,03;;8528 52 10 00;(К0007297)Монітор Acer має код 8528 52 10 00 - Монітори кольорові з діагоналлю до 43,2 см.
ЦДУ-00745;"Монітор 20 ""Samsung"" TFT P 2050 N";;;955,63;;8528 52 10 00;(К0007297)Монітор Samsung 20" має код 8528 52 10 00.
ЦДУ-00746;"Монітор 20 ""Samsung"" TFT P 2050 N";;;955,63;;8528 52 10 00;(К0007297)Монітор Samsung 20" має код 8528 52 10 00.
ЦДУ-00747;"Монітор 20 ""Samsung"" TFT P 2050 N";;;955,81;;8528 52 10 00;(К0007297)Монітор Samsung 20" має код 8528 52 10 00.
ЦДУ-00748;"Монітор 20 ""Samsung"" TFT P 2050 N";;;955,81;;8528 52 10 00;(К0007297)Монітор Samsung 20" має код 8528 52 10 00.
К0007297 ;"Монітор 21.5 ""BenQ GW2270 HM (9H/LEXLA.TBE)";8528 59 40 00 ;Импортированный товар;800,00;Монітори інші;8528 52 10 00;Правильний код 8528 52 10 00 а НЕ 8528 59 40 00 - монітор діагоналлю 21.5" входить до категорії до 43,2 см.
ЦДУ-00749;"Монітор 22 ""PHILIPS 220E1SB1 Black";;;831,88;;8528 52 10 00;(К0007297)Монітор 22" має код 8528 52 10 00.
ЦДУ-00750;"Монітор 22"" Samsung P 2250 TFT";;;1 042,02;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00751;"Монітор 22"" Samsung P 2250 TFT";;;1 042,02;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00752;"Монітор 22"" Samsung P 2250 TFT";;;1 094,32;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00753;"Монітор 22"" Samsung P 2250 TFT";;;1 041,98;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00754;"Монітор 22"" Samsung P 2250 TFT";;;1 042,02;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00755;"Монітор 22"" Samsung P 2250 TFT";;;1 094,36;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00756;"Монітор 22"" Samsung P 2250 TFT";;;1 094,32;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00757;"Монітор 22"" Samsung P 2250 TFT";;;1 094,32;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00758;"Монітор 22"" Samsung P 2250 TFT";;;1 094,36;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00759;"Монітор 22"" Samsung P 2250 TFT";;;1 094,32;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00760;"Монітор 22"" Samsung P 2250 TFT";;;1 042,02;;8528 52 10 00;(К0007297)Монітор Samsung 22" має код 8528 52 10 00.
ЦДУ-00761;"Монітор Dell P2314H 58.4 cm (23"") LED monitor VGA, DVI-D,DP (1920x1080) Black EUR";;;1 326,88;;8528 52 10 00;(К0007297)Монітор Dell 23" має код 8528 52 10 00.
ЦДУ-00762;"Монітори/Монітор 19.5"" Dell P2014H Professional (858-BBBN)";;;817,76;;8528 52 10 00;(К0007297)Монітор Dell 19.5" має код 8528 52 10 00.
ЦДУ-00763;"Монітори/Монітор 19.5"" Dell P2014H Professional (858-BBBN)";;;817,76;;8528 52 10 00;(К0007297)Монітор Dell 19.5" має код 8528 52 10 00.
ЦДУ-00764;"Моноблок Dell Inspiron 3459 23,8"" FHD NT IPS Intel";;;2 928,57;;8471 30 00 00;(ЦДУ-00082)Моноблок Dell Inspiron має код 8471 30 00 00 - комп'ютер портативного типу (all-in-one).
ЦДУ-00765;Моноблок Dell Inspiron One 2330 (210-39089);;;5 367,92;;8471 30 00 00;(ЦДУ-00082)Моноблок Dell Inspiron має код 8471 30 00 00.
ЦДУ-00766;Моноблок HP Pavilion 20-b150er;;;2 990,63;;8471 30 00 00;(ЦДУ-00082)Моноблок HP має код 8471 30 00 00.
ЦДУ-00767;Моноблок HP Pavilion 20-b150er;;;2 990,63;;8471 30 00 00;(ЦДУ-00082)Моноблок HP має код 8471 30 00 00.
ЦДУ-00768;Моноблок HP ProOne G1 400 AIO DD5U12EA;;;2 625,11;;8471 30 00 00;(ЦДУ-00082)Моноблок HP має код 8471 30 00 00.
ЦДУ-00769;Моноблок Lenovo S40-40 21/5FHD/Intel;;;2 698,07;;8471 30 00 00;(ЦДУ-00096)Моноблок Lenovo має код 8471 30 00 00.
ЦБ-003400;Монтажна пилка Makita LW1401;8461 50 90 00 ;Импортированный товар;5 145,00;;8461 50 90 00;Код залишається правильний - монтажна пилка (різальний верстат).
ЦДУ-00770;МФУ А4 HP LJ V1522n;;;2 045,32;;8443 32 00 00;Багатофункціональний пристрій (принтер/сканер/копір) - код 8443 32 00 00 (Машини друкувальні).
ЦДУ-00771;Набор форм для формовки пенопласта;;;0,01;;8480 79 00 00;Набір форм для формування пінопласту - код 8480 79 00 00 (Форми для інших матеріалів).
ЦДУ-00772;Навантажувач LINDE H60T-1, с.н Н2Х396А00535, бувший у використанні, 2010 року випуску;;;206 506,12;;8427 20 00 00;(ЦДУ-00124)Навантажувач LINDE має код 8427 20 00 00 - вилковий навантажувач з двигуном внутрішнього згоряння.
ЦДУ-00773;Навантажувач Still RC 40-18 Т, с.н. F54015B00033, бувший у використанні, 2011 року випуску;;;52 539,95;;8427 10 00 00;Навантажувач Still RC електричний - код 8427 10 00 00 (Електричні навантажувачі).
ЦДУ-00774;Навантажувач Still RC 40-18 Т, с.н. F54015B00033, бувший у використанні, 2011 року випуску;;;76 877,87;;8427 10 00 00;Навантажувач Still RC електричний - код 8427 10 00 00.
ЦДУ-00775;Накопичувач на жорстких магнітних дисках WD 2.5 SATA 3.0 0,32TB 5400 rpm 16Mb Cache Blue 7mm;;;0,01;;8471 70 50 00;Жорсткий диск для комп'ютерів - код 8471 70 50 00 (Пристрої зберігання даних магнітні).
ЦДУ-00776;Накопичувач на жорстких магнітних дисках WD 3.5 SATA 3.0 1TB 7200 rpm 64Mb Cache Caviar Blue;;;0,01;;8471 70 50 00;Жорсткий диск для комп'ютерів - код 8471 70 50 00.
ЦДУ-00777;Напівавтомат зварювальний Telmig 203/2 turbo;;;4 780,42;;8515 31 00 00;Зварювальний напівавтомат - код 8515 31 00 00 (Машини та апарати для дугового зварювання).
ЦДУ-00778;Напольний апарат для електроконтактного зварювання №1;;;5 849,85;;8515 21 00 00;Апарат для точкового зварювання - код 8515 21 00 00 (Машини та апарати для контактного зварювання).
ЦДУ-00779;Напольний апарат для електроконтактного зварювання №2;;;5 849,85;;8515 21 00 00;Апарат для точкового зварювання - код 8515 21 00 00.
ЦДУ-00780;Напольний апарат для електроконтактного зварювання №3;;;5 849,85;;8515 21 00 00;Апарат для точкового зварювання - код 8515 21 00 00.
ЦДУ-00781;Напольний апарат для електроконтактного зварювання №4;;;5 849,85;;8515 21 00 00;Апарат для точкового зварювання - код 8515 21 00 00.
ЦДУ-00782;Напольний апарат для електроконтактного зварювання №5;;;5 849,85;;8515 21 00 00;Апарат для точкового зварювання - код 8515 21 00 00.
ЦДУ-00783;Насос;;;3 047,92;;8413 70 00 00;Насос відцентровий промисловий - код 8413 70 00 00 (Насоси відцентрові інші).
ЦДУ-00784;Насос TERM WATER;;;3 561,25;;8413 70 00 00;Насос відцентровий - код 8413 70 00 00.
ЦДУ-00785;Насос агр. СМ 80-50-200/4а с ел.дв. 3/1500;;;1 976,57;;8413 70 00 00;Насос відцентровий з електродвигуном - код 8413 70 00 00.
ЦДУ-00786;Насос агрегатний ЭЦВ 6-10-140;;;2 367,29;;8413 70 00 00;Насосний агрегат - код 8413 70 00 00.
ЦДУ-00787;Насос для плоско-шліфувального станка;;;1 332,74;;8413 70 00 00;Насос для промислового обладнання - код 8413 70 00 00.
ЦДУ-00788;Насос дренажний DSP 550- PD;;;235,67;;8413 70 00 00;Дренажний насос - код 8413 70 00 00.
ЦДУ-00789;Насос дренажний DSP 750 PD;;;219,50;;8413 70 00 00;Дренажний насос - код 8413 70 00 00.
ЦДУ-00790;Насос дренажний DSP 750 PD(2);;;219,45;;8413 70 00 00;Дренажний насос - код 8413 70 00 00.
ЦДУ-00791;Насосний агрегат СД 16/25 р ел. двигуном АИР 100S (4*3000);;;503,74;;8413 70 00 00;Насосний агрегат з електродвигуном - код 8413 70 00 00.
ЦДУ-00792;Насосний агрегат СД16/25 з ел. дв.4кВТ*3000об/хв;;;458,33;;8413 70 00 00;Насосний агрегат з електродвигуном - код 8413 70 00 00.
ЦДУ-00793;Насосний агрегат СМ 80-50-200б-4 с дв.3/1500;;;2 135,84;;8413 70 00 00;Насосний агрегат з електродвигуном - код 8413 70 00 00.
ЦДУ-00794;Настільний апарат для електроконтактного зварювання №1;;;4 660,48;;8515 21 00 00;Апарат для контактного зварювання настільний - код 8515 21 00 00.
ЦДУ-00795;Настільний апарат для електроконтактного зварювання №2;;;4 660,48;;8515 21 00 00;Апарат для контактного зварювання настільний - код 8515 21 00 00.
ЦДУ-00796;Настільний апарат для електроконтактного зварювання №3;;;4 660,48;;8515 21 00 00;Апарат для контактного зварювання настільний - код 8515 21 00 00.
ЦДУ-00797;Настільний апарат для електроконтактного зварювання №4;;;4 660,48;;8515 21 00 00;Апарат для контактного зварювання настільний - код 8515 21 00 00.
ЦДУ-00798;Настільний апарат для електроконтактного зварювання №5;;;4 660,48;;8515 21 00 00;Апарат для контактного зварювання настільний - код 8515 21 00 00.
ЦДУ-00799;"Настільний комп`ютер PC I3264 CI3-7100U 22""";;;3 386,17;;8471 30 00 00;(ЦДУ-00082)Настільний комп'ютер з монітором має код 8471 30 00 00 - моноблок.
ЦДУ-00800;Неттопи та моноблоки HP Pavilion 23-b201er All-in-ONE (E3H55EA);;;4 114,51;;8471 30 00 00;(ЦДУ-00082)Моноблок HP має код 8471 30 00 00.
ЦДУ-00801;Неттопи та моноблоки/Dell Inspiron One 2330 (O233610DDL-13);;;5 501,43;;8471 30 00 00;(ЦДУ-00082)Моноблок Dell має код 8471 30 00 00.
ЦДУ-00802;Неттопи та моноблоки/Dell Inspiron One 2330 (O233610DDL-13);;;5 568,12;;8471 30 00 00;(ЦДУ-00082)Моноблок Dell має код 8471 30 00 00.
ЦДУ-00803;Неттопи та моноблоки/Lenovo ThinkCentre Edge 72z AIO (RCKJARU);;;3 274,25;;8471 30 00 00;(ЦДУ-00096)Моноблок Lenovo має код 8471 30 00 00.
ЦДУ-00804;"НЖМД DELL 3.5 ""Near Line SAS 1ТВ 7,2К LFF hot-plug";;;1 442,01;;8471 70 50 00;Жорсткий диск для серверів - код 8471 70 50 00.
ЦДУ-00805;Ножниці гільйотинні с ножним приводом Eur Omega 37 №1;;;0,01;;8462 31 00 00;Гільйотинні ножиці з механічним приводом - код 8462 31 00 00 (Верстати для різання металу).
ЦДУ-00806;Ножниці гільйотинні с ножним приводом Eur Omega 37 №2;;;0,01;;8462 31 00 00;Гільйотинні ножиці з механічним приводом - код 8462 31 00 00.
ЦДУ-00807;Ноутбук Dell Inspirion 5758 17/3/Intel Pen 3805U;;;2 532,48;;8471 30 00 00;(ЦДУ-00808)Ноутбук Dell має код 8471 30 00 00 - портативний комп'ютер.
ЦДУ-00808;Ноутбук Dell Inspiron 3552 Black;;;1 260,83;;8471 30 00 00;(ЦДУ-00082)Ноутбук Dell має код 8471 30 00 00.
ЦДУ-00809;Ноутбук DELL Inspiron 3558;;;1 755,10;;8471 30 00 00;(ЦДУ-00082)Ноутбук Dell має код 8471 30 00 00.
ЦДУ-00810;Ноутбук DELL Inspiron 3558;;;1 872,48;;8471 30 00 00;(ЦДУ-00082)Ноутбук Dell має код 8471 30 00 00.
ЦДУ-00811;Ноутбук DELL Inspiron 5558;;;2 533,40;;8471 30 00 00;(ЦДУ-00082)Ноутбук Dell має код 8471 30 00 00.
ЦДУ-00812;Ноутбук Lenovo IdeaPad 320-15ІSK;;;2 208,45;;8471 30 00 00;(ЦДУ-00096)Ноутбук Lenovo має код 8471 30 00 00.
ЦДУ-00813;Ноутбук Lenovo IdeaPad 320-17ISK (80XJ002JRA) Platinum Gre;;;2 161,48;;8471 30 00 00;(ЦДУ-00096)Ноутбук Lenovo має код 8471 30 00 00.
