Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00511;Картридж HP LJ Pro MFP M426 (CF226X) Eco Line;;;647,44;;;8443 99 10 00;Класифікація: Картридж для лазерного принтера - код 8443 99 10 00 частини машин друкувальних
ЦДУ-00512;"КД і прес-форма на деталь ""Засувка""";;;24 792,66;;;8480 71 00 00;Класифікація: Прес-форма для лиття пластмасової засувки - код 8480 71 00 00 форми для лиття пластмас
ЦДУ-00513;"КД і прес-форма на деталь ""коробка+стопор""";;;50 654,38;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00514;"КД і прес-форма на деталь ""корпус+кришка""";;;40 415,93;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00515;"КД і прес-форма на деталь ""Кронштейн+ накладка па""";;;34 171,87;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00516;"КД і прес-форма на деталь ""Куточок""";;;18 561,70;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00517;"КД і прес-форма на деталь ""Панель перемикача""";;;41 255,51;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00518;"КД і прес-форма на деталь ""Равлик""";;;83 894,91;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00519;"КД і прес-форма на деталь ""Ротор D140X55""";;;55 120,98;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00520;"КД і прес-форма на деталь ""Скло""";;;20 995,04;;;8480 71 00 00;Аналогія: (ЦДУ-00512)КД і прес-форма має код 8480 71 00 00 - форми для лиття пластмас
ЦДУ-00521;Кліше Margarita 640*610*550;;;926,75;;;8442 50 99 00;Класифікація: Кліше друкарське - код 8442 50 99 00 частини обладнання поліграфічного
ЦДУ-00522;Кліше Villa;;;1 289,06;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00523;Кліше Villa;;;1 289,06;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00524;Кліше WildWind;;;1 346,13;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00525;Кліше WildWind;;;1 346,13;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00526;Кліше для друку (IcePack 750, 400);;;762,30;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00527;Кліше для друку (Торнадо);;;1 098,03;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00528;Кліше для друку емальованої поверхні;;;860,11;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00529;Кліше для друку емальованої поверхні;;;480,79;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00530;Кліше для друку Кемпінгаз М10, шт 1;;;599,15;;;8442 50 99 00;Аналогія: (ЦДУ-00521)Кліше має код 8442 50 99 00 - друкарські кліше
ЦДУ-00531;Кліщі-ватметр ВМ-155;;;6 875,01;;;9030 33 00 00;Класифікація: Кліщі-ватметр вимірювальні - код 9030 33 00 00 прилади для вимірювання потужності
ЦДУ-00532;Комлексна трансформаторна підстанція 449 160 КВА;;;3 628,45;;;8504 23 00 00;Класифікація: Трансформаторна підстанція 160 кВА - код 8504 23 00 00 трансформатори силові рідинні
ЦДУ-00533;Комлексна трансформаторна підстанція 826 250КВА;;;4 251,80;;;8504 23 00 00;Класифікація: Трансформаторна підстанція 250 кВА - код 8504 23 00 00 трансформатори силові рідинні
ЦДУ-00534;"Комп""ютер ""All-in-one"" LENOVO C260 (57332148)";;;1 690,84;;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00535;Комп`ютер ASUS Vivo AiO V222GAK-WA003D Silver;;;2 065,75;;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00536;Комп`ютер ASUS Vivo AiO V222GAK-WA003D Silver (2);;;2 065,75;;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00537;Комп`ютер Dell Inspirion 3464 34i58H1G92-LBK) Black;;;4 477,97;;;8471 30 00 00;Аналогія: (ЦДУ-00082)Dell Inspiron має код 8471 30 00 00 - обчислювальні машини моноблоки
ЦДУ-00538;Комп`ютер Dell Inspiron 3477 (347і34Н1ІНD-LBK);;;3 575,51;;;8471 30 00 00;Точний збіг: (ЦДУ-00082)Dell Inspiron 3477 має код 8471 30 00 00 - ідентична модель моноблоку
ЦДУ-00539;Компенсатор об'єму;;;843,33;;;8481 80 85 00;Класифікація: Компенсатор об'єму гідравлічний - код 8481 80 85 00 вироби арматури трубопровідної
ЦДУ-00540;Комплексна трансформаторна підстанція;;;4 770,14;;;8504 23 00 00;Аналогія: (ЦДУ-00532)Трансформаторна підстанція має код 8504 23 00 00 - трансформаторні підстанції
ЦДУ-00541;Комплект вимірювальний К 505;;;1 695,84;;;9031 80 98 00;Класифікація: Комплект вимірювальних інструментів - код 9031 80 98 00 інструменти вимірювальні
ЦДУ-00542;Комплект вимірювальний Приладдя К - 505;;;3 758,34;;;9031 80 98 00;Аналогія: (ЦДУ-00541)Комплект вимірювальний має код 9031 80 98 00 - вимірювальні комплекти
ЦДУ-00543;Комплект електротехнічних щитів РУ-0,4 кВ;;;3 801,44;;;8537 10 98 00;Класифікація: Щити розподільчі електричні - код 8537 10 98 00 пульти щити для електричного керування
ЦДУ-00544;Комплект штампів для виробництва частин духовки;;;240 931,12;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для пресування металу
ЦДУ-00545;Комплект штампів для витяжок;;;287 839,86;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для пресування металу
ЦДУ-00546;Комплект штампів для пробивки отворів (500 + 600 мм);;;0,01;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для пробивки
ЦДУ-00547;Комплект штампів на бокові панелі витяжки MH (Dropping mould);;;0,01;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для металу
ЦДУ-00548;Комплект штампів на бокові панелі витяжки MH (Moulding Mould);;;0,01;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для металу
ЦДУ-00549;Комплект штампів на каністру 20л;;;168 189,95;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для пресування
ЦДУ-00550;комплект штампов RH60;;;0,01;;;8207 30 00 00;Аналогія: (ЦДУ-00101)TOP SIDE PANEL штамп має код 8207 30 00 00 - штампи для металу
ЦДУ-00551;Комплект штампов для пробивки отверстий (500 + 600 мм);;;0,01;;;8207 30 00 00;Аналогія: (ЦДУ-00546)Комплект штампів для пробивки має код 8207 30 00 00 - ідентичний комплект
ЦДУ-00552;Комплекти/Microsoft Sculpt Ergonomic Desktop (L5V-00017);;;463,88;;;8471 60 60 00;Класифікація: Комплект клавіатура+миша Microsoft - код 8471 60 60 00 пристрої введення комп'ютерні
