Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00626;Кран підкатний гідравлічний 1Т ТЗ1002;;;0,01;;
ЦБ-003173;Крісло  соната С-38 12;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003174;Крісло  соната С-38 13;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003175;Крісло  соната С-38 14;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003176;Крісло  соната С-38 15;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003177;Крісло  соната С-38 16;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003178;Крісло  соната С-38 17;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003179;Крісло  соната С-38 18;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003180;Крісло  соната С-38 19;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003163;Крісло  соната С-38 2;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003181;Крісло  соната С-38 20;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003182;Крісло  соната С-38 21;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003183;Крісло  соната С-38 22;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003184;Крісло  соната С-38 23;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003185;Крісло  соната С-38 24;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003164;Крісло  соната С-38 3;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003165;Крісло  соната С-38 4;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003166;Крісло  соната С-38 5;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003167;Крісло  соната С-38 6;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003168;Крісло  соната С-38 7;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003169;Крісло  соната С-38 8;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
ЦБ-003170;Крісло  соната С-38 9;9403          ;Товар;644,00;9403          ;Меблі інші та їх частини
