Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00314;Візок 4 Цех №1;;;151,66;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00315;Візок 40;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00316;Візок 41;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00317;Візок 42;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00318;Візок 43;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00319;Візок 5;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00320;Візок 5 Цех №1;;;151,71;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00321;Візок 6;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00322;Візок 6 Цех №1;;;151,66;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00323;Візок 7;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00324;Візок 8;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00325;Візок 9;;;0,01;8716 80 00 00;Аналогія: (ЦБ-003274)Візок універсальний має код 8716 80 00 00 - транспортні засоби ручні
ЦДУ-00326;Візок гідравлічний 2,5т/1150мм (рокла);;;1 068,93;8427 90 00 00;Класифікація: Візок гідравлічний (рокла) - код 8427 90 00 00 навантажувачі ручні
ЦДУ-00327;Візок гідравлічний 2,5т/1150мм (рокла);;;1 069,48;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний рокла має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00328;Візок гідравлічний 2,5т/1150мм (рокла)2;;;1 069,43;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний рокла має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00329;Візок гідравлічний 2,5т/1150мм (рокла)3;;;1 080,98;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний рокла має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00330;Візок гідравлічний DFE 20.1150;;;0,01;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний рокла має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00331;Візок гідравлічний VULKAN 2.0т/1150мм (рокла);;;0,01;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний рокла має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00332;Візок гідравлічний КА -25П;;;1 269,59;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00333;візок гідравлічний модель АС-П;;;1 512,50;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний має код 8427 90 00 00 - навантажувачі ручні
ЦДУ-00334;Візок ручний гідравлічний 1150х550х85мм, ролики здвоєні пол/пол. 80х70 рульове колесо D200мм;;;1 022,86;8427 90 00 00;Аналогія: (ЦДУ-00326)Візок гідравлічний має код 8427 90 00 00 - навантажувачі ручні
ЦБ-003274;"Візок універсальний TOPEX ""Млинарка"" вантажний, 120 кг";8716800000    ;Импортированный товар;603,75;8716 80 00 00;Точний збіг: заповнено в базі - транспортні засоби ручні
ЦДУ-00335;Вогнегасник ВП-3 (1);;;0,01;8424 10 00 00;Класифікація: Вогнегасник порошковий - код 8424 10 00 00 вогнегасники заряджені
ЦДУ-00336;Вогнегасник ВП-3 (2);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП-3 має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00337;Вогнегасник ВП-3 (3);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП-3 має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00338;Вогнегасник ВП-3 (4);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП-3 має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00339;Вогнегасник ВП-3 (5);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП-3 має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00340;Вогнегасник ВП-3 (6);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП-3 має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00341;Вогнегасник ВП-5 (з);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00342;Вогнегасник ВП-50 (ОП-50) (1);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00343;Вогнегасник ВП-50 (ОП-50) (2);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00344;Вогнегасник ВП-50 (ОП-50) (3);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00345;Вогнегасник ВП-50 (ОП-50) (4);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00346;Вогнегасник ВП-50 (ОП-50) (5);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00347;Вогнегасник ВП-9 (3 (1);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00348;Вогнегасник ВП-9 (3 (2);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00349;Вогнегасник ВП-9 (3 (3);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00350;Вогнегасник ВП-9 (3 (4);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00351;Вогнегасник ВП-9 (3 (5);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00352;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00353;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00354;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00355;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00356;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00357;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00358;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00359;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00360;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00361;Вогнегасник ВП-9(3);;;583,33;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник ВП має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00362;Вогнегасник вуглекислотний ВВК-28 (ОУ-40);;;2 206,92;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник вуглекислотний має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00363;Вогнегасник ОП-100 (ВП-100);;;0,01;8424 10 00 00;Аналогія: (ЦДУ-00335)Вогнегасник має код 8424 10 00 00 - вогнегасники заряджені
ЦДУ-00364;Водопідготовка ОГ 635 №1;;;1 787,50;8421 21 00 00;Класифікація: Обладнання водопідготовки - код 8421 21 00 00 для фільтрування води
ЦДУ-00365;Водопідготовка ОГ 635 №2;;;1 787,50;8421 21 00 00;Аналогія: (ЦДУ-00364)Водопідготовка ОГ має код 8421 21 00 00 - фільтрування води
ЦДУ-00366;Водопровідні мережі заводу;;;907,50;8424 89 00 00;Класифікація: Водопровідні мережі - код 8424 89 00 00 обладнання для розпилення
ЦДУ-00367;ВПУ-1;;;0,01;8421 21 00 00;Аналогія: (ЦДУ-00364)Водопідготовка має код 8421 21 00 00 - фільтрування води
ЦДУ-00368;Гвинтовий компресор на ресівері TIDY 10;;;0,01;8414 80 78 00;Класифікація: Компресор гвинтовий - код 8414 80 78 00 компресори гвинтові
ЦДУ-00369;Гідравличний прес 100 Т;;;56 500,89;8462 99 80 00;Класифікація: Гідравлічний прес - код 8462 99 80 00 преси для обробки металу
ЦДУ-00370;Гідравлічна згинальна машина;;;32 710,88;8462 29 00 00;Класифікація: Гідравлічна згинальна машина - код 8462 29 00 00 верстати згинальні
ЦДУ-00371;Гідравлічний верстат для згинання (SMART XL 1550 мм х 40 ТОН) (2);;;142 306,64;8462 29 00 00;Аналогія: (ЦДУ-00370)Гідравлічна згинальна машина має код 8462 29 00 00 - верстати згинальні
ЦДУ-00372;Гідравлічний верстат для згинання з NC системою (навантаження 40 тон, довжина столу 2000мм);;;40 310,47;8462 29 00 00;Аналогія: (ЦДУ-00370)Гідравлічний згинальний верстат має код 8462 29 00 00 - верстати згинальні
ЦДУ-00373;Гідравлічний верстат для згинання з NC системою (навантаження 40 тон, довжина столу 2000мм) №2;;;40 310,47;8462 29 00 00;Аналогія: (ЦДУ-00370)Гідравлічний згинальний верстат має код 8462 29 00 00 - верстати згинальні
ЦДУ-00374;Гідравлічний згинальний станок (SMART XL 1550 мм х 40 ТОН);;;142 306,64;8462 29 00 00;Аналогія: (ЦДУ-00370)Гідравлічний згинальний верстат має код 8462 29 00 00 - верстати згинальні
ЦДУ-00375;Гідравлічний листозгинальний станок;;;13 542,05;8462 29 00 00;Аналогія: (ЦДУ-00370)Гідравлічний листозгинальний має код 8462 29 00 00 - верстати згинальні
ЦДУ-00376;Гідравлічний листозгинальний станок;;;8 250,00;8462 29 00 00;Аналогія: (ЦДУ-00370)Гідравлічний листозгинальний має код 8462 29 00 00 - верстати згинальні
ЦДУ-00377;Гільйотина Shearing machine QC12-4X2500;;;41 835,35;8462 31 00 00;Класифікація: Гільйотина листорізальна - код 8462 31 00 00 ножиці гільйотинні
ЦДУ-00378;Гільотина 1,2м Eur Omega Q11-3 x 1200;;;0,01;8462 31 00 00;Аналогія: (ЦДУ-00377)Гільйотина має код 8462 31 00 00 - ножиці гільйотинні
ЦДУ-00379;Гільотина 2,5м Eur Omega Q11-3 x2500;;;0,01;8462 31 00 00;Аналогія: (ЦДУ-00377)Гільйотина має код 8462 31 00 00 - ножиці гільйотинні
ЦДУ-00380;ДБЖ FSP NANO-600 w/Active PFC;;;341,31;8504 40 30 00;Аналогія: (ЦБ-003469)Джерело безперебійного Eaton має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00381;ДБЖ Mustek 636 (600VA);;;315,56;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00382;ДБЖ Mustek 848 (800VA);;;337,33;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00383;ДБЖ Mustek 848 (800VA);;;339,85;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00384;ДБЖ Mustek 848 (800VA);;;339,85;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00385;ДБЖ Mustek PowerMust 848 (800VA);;;351,68;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00386;ДБЖ Powercom KIN1000AP RM1U;;;0,01;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00387;ДБЖ АРС Smart- UPS 2200 (SUA 22001);;;3 852,89;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ APC має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00388;Двері металеві;;;0,16;7308 30 00 00;Класифікація: Двері металеві - код 7308 30 00 00 конструкції з чорних металів
ЦДУ-00389;Дві цегляні димові труби;;;453,75;6904 10 00 00;Класифікація: Димові труби цегляні - код 6904 10 00 00 цегла будівельна
ЦДУ-00390;Джерело безпебійного живлення EAST EA-600 Schuko;;;260,06;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00391;Джерело безпебійного живлення EAST EA-600 Schuko;;;267,35;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00392;Джерело безпебійного живлення Mustek PowerMust 636 600 VA;;;299,52;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00393;Джерело безпебійного живлення Mustek PowerMust 636 600 VA;;;299,52;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00394;Джерело безпереб. живлення АРС;;;341,31;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ APC має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00395;Джерело безперебійного живлення APC Back-UPS 1100VA (BX1100CI-RS);;;770,18;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ APC має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00396;Джерело безперебійного живлення APC Back-UPS 1100VA (BX1100CI-RS);;;770,18;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ APC має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00397;Джерело безперебійного живлення APC Back-UPS ЕS 400 VA;;;420,66;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ APC має код 8504 40 30 00 - джерела безперебійного живлення
ЦБ-003469;Джерело безперебійного живлення Eaton Ellipse PRO, 650VA/400W, LCD, USB, 4xSchuko, 9207-43388;8504 40 30 00 ;Импортированный товар;8 277,50;8504 40 30 00;Точний збіг: заповнено в базі - джерела безперебійного живлення
ЦБ-003466;Джерело безперебійного живлення Eaton Ellipse PRO, 850VA/510W, LCD, USB, 4xSchuko, 9207-53086;8504 40 30 00 ;Импортированный товар;8 277,50;8504 40 30 00;Точний збіг: заповнено в базі - джерела безперебійного живлення
ЦБ-003467;Джерело безперебійного живлення Eaton Ellipse PRO, 850VA/510W, LCD, USB, 4xSchuko, 9207-53086;8504 40 30 00 ;Импортированный товар;8 277,50;8504 40 30 00;Точний збіг: заповнено в базі - джерела безперебійного живлення
ЦБ-003468;Джерело безперебійного живлення Eaton Ellipse PRO, 850VA/510W, LCD, USB, 4xSchuko, 9207-53086;8504 40 30 00 ;Импортированный товар;8 277,50;8504 40 30 00;Точний збіг: заповнено в базі - джерела безперебійного живлення
ЦДУ-00398;Джерело безперебійного живлення LogicPower LP 850VA-6PS;;;201,16;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00399;Джерело безперебійного живлення LogicPower LP 850VA-6PS;;;349,98;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
ЦДУ-00400;Джерело безперебійного живлення LogicPower LP 850VA-6PS;;;388,16;8504 40 30 00;Аналогія: (ЦБ-003469)ДБЖ має код 8504 40 30 00 - джерела безперебійного живлення
