Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01304;Шкаф;;;2 745,51;;
ЦБ-001723;Шліф. Машина Bosch GEX 125-1 (ексцентрикова);8467 29 59 00 ;Импортированный товар;1 490,83;8467 29 59 00 ;Електричні ручні інструменти з вбудованим двигуном
ЦБ-003313;Шліф. машина Bosh GEХ 125-1 (ексцентрикова);8467 29 59 00 ;Импортированный товар;1 629,17;8467 29 59 00 ;Електричні ручні інструменти з вбудованим двигуном
ЦДУ-01305;Шліф. машина Bosh GEХ 125-1 (ексцентрикова);;;402,14;;
ЦДУ-01306;Шліф. машина Bosh GEХ 125-1 (ексцентрикова);;;402,10;;
ЦДУ-01307;Шліф. машина Bosh GEХ 125-1 (ексцентрикова) / 1;;;402,10;;
ЦДУ-01308;Шліф. машина Bosh GEХ 125-1 (ексцентрикова) / 2;;;402,10;;
ЦДУ-01309;Шліф. машина Bosh GEХ 125-1 (ексцентрикова) зварка;;;385,63;;
ЦБ-003317;Шліфмашина ексцентрикова Dnipro -M PE-50S;8467 29 59 00 ;Импортированный товар;875,00;8467 29 59 00 ;Електричні ручні інструменти з вбудованим двигуном
ЦБ-003312;Шліфмашина ексцентрикова Dnipro-M PE-50S;8467 29 59 00 ;Импортированный товар;875,00;8467 29 59 00 ;Електричні ручні інструменти з вбудованим двигуном
ЦДУ-01310;Шліфувальний стрічково-дисковий верстат BTS 700 ,230В,50Гц. 250 Вт Scheppach;;;545,42;;
ЦДУ-01311;Штамп WH 10- Model1;;;9 906,58;;
ЦДУ-01312;Штамп WH 10- Model2;;;9 906,58;;
ЦДУ-01313;Штамп WH 10- Model3;;;12 383,22;;
ЦДУ-01314;Штамп WH 10- Model4;;;14 364,54;;
ЦДУ-01315;Штамп WH 10- Model5;;;12 383,22;;
ЦДУ-01316;Штамп WH 10- Model6;;;9 906,58;;
ЦДУ-01317;"Штамп вирубки, пробивки на деталь АКРО -500.100.01 ""Корпус""";;;0,01;;
ЦДУ-01318;"Штамп вирубки, пробивки на деталь АКРО -500.100.02 ""Панель задня""";;;0,01;;
ЦДУ-01319;"Штамп вирубки, пробивки на деталь АКРО -600.01.001 ""Купол верхній""";;;0,01;;
ЦДУ-01320;"Штамп вирубки, пробивки на деталь АКРО -600.01.002 ""Панель задня""";;;0,01;;
ЦДУ-01321;"Штамп вирубки, пробивки на деталь АКРО -600.01.005 ""Кутник фіксуючий""";;;0,01;;
ЦДУ-01322;"Штамп вирубки, пробивки на деталь АКРО -600.04.001 ""Панель управління""";;;0,01;;
ЦДУ-01323;Штамп вирубний для деталі боковина;;;0,01;;
ЦДУ-01324;Штамп витяжний для варильної поверхні;;;20 122,47;;
ЦБ-003485;Штамп гибки UNO, WH;8487 90 57 00 ;Импортированный товар;14 588,79;8487 90 57 00 ;Частини машин або механічних пристроїв
ЦДУ-01325;Штамп для бічної панелі похилих витяжок;;;8 762,80;;
ЦДУ-01326;Штамп для висічки (16052719) IcePack 400;;;405,90;;
ЦДУ-01327;Штамп для висічки (16060133) IcePack 750;;;437,57;;
ЦДУ-01328;Штамп для висічки ЕА 50К;;;453,38;;
ЦДУ-01329;Штамп для висічки ЕА 60К;;;477,54;;
ЦДУ-01330;Штамп для висічки КА-50;;;917,81;;
ЦДУ-01331;Штамп для висічки КА-60;;;1 026,44;;
ЦДУ-01332;Штамп для нижнього коробу витяжки( Semi cutting die);;;8 600,70;;
ЦДУ-01333;Штамп для обрізки та згинання кутів;;;20 122,49;;
ЦДУ-01334;Штамп для панели освещения наклонных вытяжек;;;8 600,70;;
ЦДУ-01335;Штамп для патрубка Алюм.25 мм;;;789,41;;
ЦДУ-01336;Штамп для перемикача Ф29 мм мц;;;655,42;;
ЦДУ-01337;Штамп для пробивки отворів;;;20 122,49;;
ЦДУ-01338;"Штамп для пробивки отворів в деталі ""Боковина""";;;0,01;;
ЦДУ-01339;Штамп для розвальцьовування газового колектора (Mouth Blowing Mould);;;7 789,38;;
ЦДУ-01340;Штамп для ручки Ф4 мм;;;3 425,65;;
ЦДУ-01341;Штамп для сигнальних ламп Ф6 мм;;;655,42;;
ЦДУ-01342;Штамп для формування отвору під галогеновую лампу;;;0,01;;
ЦДУ-01343;Штамп для цифрового таймера Okida OT;;;3 127,37;;
ЦДУ-01344;Штамп згинально-формувальний для деталі боковина;;;0,01;;
