Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00179;Апарат для нагр. охолодж. води V 208 F;;;508,75;8418 69 00 00;Класифікація: Апарат для нагріву та охолодження води - код 8418 69 00 00 як охолоджувачі напоїв
ЦДУ-00180;Апарат для очищення Меджик Клінер Stand Alone;;;89 174,78;8479 89 97 00;Класифікація: Промисловий апарат для очищення - код 8479 89 97 00 як інше спеціальне обладнання
ЦДУ-00181;Багатоф. лічильник EMS 132.41.4 с RS485 (Код УКТЗЕД 9028301900);;;1 870,00;9028 30 19 00;Класифікація: Багатофункціональний лічильник електроенергії - код 9028 30 19 00
ЦДУ-00182;Багатофункціональний обжимний інструмент DIGITUS;;;163,63;8203 20 00 00;Класифікація: Ручний обжимний інструмент - код 8203 20 00 00 як плоскогубці та подібні
ЦДУ-00183;Багатофункціональний принтер HP LJ Pro M426fdn;;;2 475,00;8443 31 10 00;Класифікація: Лазерний багатофункціональний принтер - код 8443 31 10 00
ЦДУ-00184;Багатофункціональний пристрій НР LaserJet Pro M426fdn(F6W14A);;;1 930,20;8443 31 10 00;Класифікація: Лазерний багатофункціональний пристрій - код 8443 31 10 00
ЦДУ-00185;Багатофункціональний пристрій НР LaserJet Pro M426fdn(F6W14A) / 3;;;2 135,64;8443 31 10 00;Класифікація: Лазерний багатофункціональний пристрій - код 8443 31 10 00
ЦДУ-00186;Бак приготування розчину з насосом;;;0,01;8479 89 97 00;Класифікація: Резервуар з мішалкою для розчину - код 8479 89 97 00 як інше обладнання
ЦДУ-00187;Безперебійник Mustek PowerMust 600;;;284,28;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00188;Безперебійник Mustek PowerMust 600;;;284,28;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00189;Безперебійник Mustek PowerMust 600;;;276,01;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00190;Безперебійник Mustek PowerMust 600;;;276,01;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00191;Безперебійник Mustek PowerMust 600 Offline 600VA/300W (600-LED-O;;;308,81;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00192;Безперебійник Mustek PowerMust 600 Offline 600VA/300W (600-LED-O;;;308,81;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00193;Безперебійник Mustek PowerMust 600 Offline 600VA/300W (600-LED-O;;;308,81;8504 40 30 90;Класифікація: Джерело безперебійного живлення - код 8504 40 30 90 як статичний перетворювач
ЦДУ-00194;Безпровідний комплект Dell KM636 Wireless Keyboard and Mouse Black;;;216,75;8471 60 60 00;Класифікація: Комплект клавіатура+миша - код 8471 60 60 00 як клавіатури
ЦДУ-00195;Бензиновий тріммер Foresta FC-52 LX-1;;;0,01;8467 89 00 00;Класифікація: Бензиновий тример - код 8467 89 00 00 як інші інструменти з вбудованим двигуном
ЦДУ-00196;Бензогенератор зварювальний FORTE FG6500EW -потужність 5кВт;;;0,01;8502 11 00 00;Класифікація: Бензиновий електрогенератор до 75 кВА - код 8502 11 00 00
ЦДУ-00197;Бензопила EFCO MT 770 Professional ITALY;;;737,09;8467 29 30 00;Класифікація: Ланцюгова бензопила - код 8467 29 30 00
ЦДУ-00198;Бензопила ланцюгова Oleo-Mac GS650;;;2 697,83;8467 29 30 00;Класифікація: Ланцюгова бензопила - код 8467 29 30 00
ЦДУ-00199;Бензопила ціпна Partner 842;;;1 210,00;8467 29 30 00;Класифікація: Ланцюгова бензопила - код 8467 29 30 00
ЦДУ-00200;Бетонозмішувач 400л;;;1 140,77;8474 31 00 00;Класифікація: Бетонозмішувач - код 8474 31 00 00
ЦДУ-00201;Бетонозмішувач СМ-125;;;920,24;8474 31 00 00;Класифікація: Бетонозмішувач - код 8474 31 00 00
ЦДУ-00202;Бетонолом БК-3;;;2 160,78;8467 89 00 00;Класифікація: Бетонолом з двигуном - код 8467 89 00 00
ЦДУ-00203;Бігувально-висікальна машина ML 750;;;0,01;8441 80 00 00;Класифікація: Машина для висікання та бігування - код 8441 80 00 00
ЦДУ-00204;Біотуалет;;;1 544,22;3922 90 00 00;Класифікація: Переносний біотуалет з пластмаси - код 3922 90 00 00
ЦДУ-00205;Блок живлення ADAPTER EXT AC 120W;;;419,19;8504 40 90 90;Класифікація: Імпульсний блок живлення - код 8504 40 90 90
ЦДУ-00206;Блок живлення ADAPTER EXT AC 120W;;;419,24;8504 40 90 90;Класифікація: Імпульсний блок живлення - код 8504 40 90 90
ЦДУ-00207;Блок живлення Aerocool VX-500 500W;;;170,36;8504 40 90 90;Класифікація: Імпульсний блок живлення - код 8504 40 90 90
ЦДУ-00208;Блок живлення Aerocool VX-500 500W;;;170,32;8504 40 90 90;Класифікація: Імпульсний блок живлення - код 8504 40 90 90
ЦДУ-00209;Блок живлення ATX 450 W, короб очний, APFC, 14 см вент, 80+;;;155,15;8504 40 90 90;Класифікація: Імпульсний блок живлення - код 8504 40 90 90
ЦДУ-00210;Блок живлення ATX 450 W, короб очний, APFC, 14 см вент, 80+;;;155,10;8504 40 90 90;Класифікація: Імпульсний блок живлення - код 8504 40 90 90
ЦДУ-00211;Блок форма;;;0,01;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00212;Бороздоділ Sparky Professional FK 3014;;;1 088,13;8467 89 00 00;Класифікація: Електроінструмент для штроблення - код 8467 89 00 00
ЦДУ-00213;Будівля , Цех №5, Склад №1 (Ж);;;4 864 925,45;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00214;Будівля водонапірної станції (Л);;;2 495,86;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00215;Будівля охорони (И);;;3 961,92;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00216;Будівля, Котельня (З);;;116 513,19;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00217;Будівля, Насосна станція перекачки (Н);;;2 537,60;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00218;Будівля, Склад (М);;;4 449,22;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00219;Будівля, Склад (П);;;907,50;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00220;Будівля, Склад №2 (Д);;;3 081,51;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00221;Будівля, Склад №3 (Е);;;487 270,88;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00222;Будівля, Цех №1 (А);;;963 425,95;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00223;Будівля, Цех №3 (В);;;19 433,07;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00224;Будівля, Цех №4 (Є);;;740 550,78;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00225;Будівля, Цех №6 (Г);;;440 963,85;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00226;Буділя, Склад (О);;;3 298,36;9406 90 00 90;Класифікація: Модульна будівля/споруда - код 9406 90 00 90
ЦДУ-00227;БФП HP LaserJet Pro M426dw with Wi-Fi;;;2 037,80;8443 31 10 00;Класифікація: Лазерний багатофункціональний пристрій - код 8443 31 10 00
ЦДУ-00228;БФП А3 ч/б XEROX WC 5016;;;4 262,51;8443 31 10 00;Класифікація: Лазерний багатофункціональний пристрій - код 8443 31 10 00
ЦДУ-00229;Ваги DB-60Н;;;1 283,34;8423 81 00 00;Класифікація: Електронні платформні ваги - код 8423 81 00 00
ЦДУ-00230;Ваги SW-2;;;6 034,74;8423 81 00 00;Класифікація: Електронні ваги малої місткості - код 8423 81 00 00
ЦДУ-00231;Ваги електронны ВН-150-1Д-А (ЖК) (400х540);;;1 057,06;8423 81 00 00;Класифікація: Електронні ваги - код 8423 81 00 00
ЦДУ-00232;Ваги кранові OSB-5t-XZC2;;;3 880,55;8423 20 90 00;Класифікація: Кранові ваги - код 8423 20 90 00
ЦДУ-00233;Ваги товарні Barap VB-P 150 LED зі стійкістю 150 кг;;;583,64;8423 81 00 00;Класифікація: Електронні товарні ваги - код 8423 81 00 00
ЦДУ-00234;Вагончик- прохідна;;;2 583,50;9406 90 00 90;Класифікація: Модульний вагончик - код 9406 90 00 90
ЦДУ-00235;Вагончик- прохідна 2;;;46 003,09;9406 90 00 90;Класифікація: Модульний вагончик - код 9406 90 00 90
ЦДУ-00236;Вальці ручні;;;5 416,78;8462 29 80 00;Класифікація: Ручні вальці для листового металу - код 8462 29 80 00
ЦДУ-00237;Вальці ручні ВВМ 1000 НОLZMANN;;;0,01;8462 29 80 00;Класифікація: Ручні вальці для листового металу - код 8462 29 80 00
ЦДУ-00238;Ввідно розподільчий пристрій ВРП( без лічильника );;;109 999,89;8537 10 99 00;Класифікація: Ввідно-розподільчий пристрій - код 8537 10 99 00
ЦДУ-00239;Вентилятор ВЦ 4-75 №2,5 с дв. 0,25/1500;;;544,27;8414 59 20 90;Класифікація: Оснащений промисловий вентилятор - код 8414 59 20 90
ЦДУ-00240;Вентилятор ВЦ14-46 №4 (двигун 4 квт*1500об);;;1 177,73;8414 59 20 90;Класифікація: Оснащений промисловий вентилятор - код 8414 59 20 90
ЦДУ-00241;Вентилятор ВЦ-14-46-2,5 дв 0,55/1500;;;733,33;8414 59 20 90;Класифікація: Оснащений промисловий вентилятор - код 8414 59 20 90
ЦДУ-00242;Вентилятор з електродвигуном FUA-3000/SP;;;2 314,36;8414 59 20 90;Класифікація: Оснащений промисловий вентилятор - код 8414 59 20 90
ЦДУ-00243;Верстат вальцювальний RM1000/фільтра;;;17 975,16;8462 29 80 00;Класифікація: Вальцювальний верстат - код 8462 29 80 00
ЦДУ-00244;Верстат вертикально-фрезерний модель 6Р13,;;;0,01;8459 61 90 00;Класифікація: Вертикально-фрезерний верстат з числовим керуванням - код 8459 61 90 00
ЦДУ-00245;Верстат для зачистки та обрізки проводів ZDBX-10;;;15 583,35;8463 20 00 00;Класифікація: Верстат для зачистки та обрізки проводів - код 8463 20 00 00
ЦДУ-00246;Верстат для згинання дроту;;;0,01;8462 29 80 00;Класифікація: Верстат для згинання дроту - код 8462 29 80 00
ЦДУ-00247;Верстат для різання металу Q11-3*1500;;;19 010,12;8462 28 70 00;Класифікація: Ножиці для різання металу - код 8462 28 70 00
ЦДУ-00248;Верстат для різання пінопласту;;;2 136,52;8464 90 80 00;Класифікація: Верстат для різання пінопласту - код 8464 90 80 00
ЦДУ-00249;Верстат токарно-гвинторізний, моделі 1К62 б/в (7064);;;0,01;8458 11 80 00;Класифікація: Токарно-гвинторізний верстат - код 8458 11 80 00
ЦДУ-00250;"Верстат універсально-шліфувальний, моделі ""Fortuna""";;;0,01;8460 21 00 00;Класифікація: Шліфувальний верстат - код 8460 21 00 00
ЦДУ-00251;Вертикальний свердлувальний верстат Z 5032 А;;;0,01;8459 29 80 00;Класифікація: Вертикальний свердлильний верстат - код 8459 29 80 00
ЦДУ-00252;Видувна машина TVD-1L;;;141 166,86;8477 30 00 00;Класифікація: Видувна машина для пластмас - код 8477 30 00 00
ЦДУ-00253;"Видувна форма для акумулятора холоду ""Крижинка"" 175 * 92 * 30 mm №1";;;4 445,01;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00254;"Видувна форма для акумулятора холоду ""Крижинка"" 175 * 92 * 30 mm №2";;;4 445,01;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00255;Видувна форма для акумулятора холоду “Campingaz” M10 №1;;;4 125,01;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00256;Видувна форма для акумулятора холоду “Campingaz” M10 №2;;;4 125,01;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00257;Видувна форма для акумулятора холоду “Campingaz” M20 №1;;;4 583,34;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00258;Видувна форма для акумулятора холоду “Campingaz” M20 №2;;;4 583,34;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00259;Видувна форма для акумулятора холоду “Плоска” 250*140*16 mm №1;;;4 215,89;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00260;Видувна форма для акумулятора холоду “Плоска” 250*140*16 mm №2;;;4 215,85;8480 79 00 00;Класифікація: Формоутворюючий блок - код 8480 79 00 00
ЦДУ-00261;Винтовой станок (1);;;687,50;8462 10 90 00;Класифікація: Гвинтовий прес/станок для обробки металу - код 8462 10 90 00
ЦДУ-00262;Виробнича лінія для нанесення емалі;;;1 430 211,32;8479 89 97 00;Класифікація: Лінія нанесення покриттів - код 8479 89 97 00
ЦДУ-00263;Виробнича лінія фарбування;;;3 794 592,91;8479 89 97 00;Класифікація: Лінія фарбування - код 8479 89 97 00
ЦДУ-00264;Висічний штамп ( Набір для гриля );;;377,24;8207 30 00 00;Класифікація: Висічний штамп - код 8207 30 00 00
ЦДУ-00265;Високошвидкісний точний токарний станок Euro Omega;;;0,01;8458 11 20 00;Класифікація: Високошвидкісний токарний верстат - код 8458 11 20 00
