Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00532;Комлексна трансформаторна підстанція 449 160 КВА;;;3 628,45;;
ЦДУ-00533;Комлексна трансформаторна підстанція 826 250КВА;;;4 251,80;;
ЦДУ-00534;"Комп""ютер ""All-in-one"" LENOVO C260 (57332148)";;;1 690,84;;
ЦДУ-00535;Комп`ютер ASUS Vivo AiO V222GAK-WA003D Silver;;;2 065,75;;
ЦДУ-00536;Комп`ютер ASUS Vivo AiO V222GAK-WA003D Silver (2);;;2 065,75;;
ЦДУ-00537;Комп`ютер Dell Inspirion 3464 34i58H1G92-LBK) Black;;;4 477,97;;
ЦДУ-00538;Комп`ютер Dell Inspiron 3477 (347і34Н1ІНD-LBK);;;3 575,51;;
ЦДУ-00539;Компенсатор об'єму;;;843,33;;
ЦДУ-00540;Комплексна трансформаторна підстанція;;;4 770,14;;
ЦДУ-00541;Комплект вимірювальний К 505;;;1 695,84;;
ЦДУ-00542;Комплект вимірювальний Приладдя К - 505;;;3 758,34;;
ЦДУ-00543;Комплект електротехнічних щитів РУ-0,4 кВ;;;3 801,44;;
ЦДУ-00544;Комплект штампів для виробництва частин духовки;;;240 931,12;;
ЦДУ-00545;Комплект штампів для витяжок;;;287 839,86;;
ЦДУ-00546;Комплект штампів для пробивки отворів (500 + 600 мм);;;0,01;;
ЦДУ-00547;Комплект штампів на бокові панелі витяжки MH (Dropping mould);;;0,01;;
ЦДУ-00548;Комплект штампів на бокові панелі витяжки MH (Moulding Mould);;;0,01;;
ЦДУ-00549;Комплект штампів на каністру 20л;;;168 189,95;;
ЦДУ-00550;комплект штампов RH60;;;0,01;;
ЦДУ-00551;Комплект штампов для пробивки отверстий (500 + 600 мм);;;0,01;;
ЦДУ-00552;Комплекти/Microsoft Sculpt Ergonomic Desktop (L5V-00017);;;463,88;;
