Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01119;Стіл порізочний;;;0,01;;
ЦДУ-01120;Стілець офісний ИЗО хром С11;;;95,89;;
ЦДУ-01121;Стілець офісний ИЗО хром С11;;;95,89;;
ЦДУ-01122;Стілець офісний ИЗО хром С11;;;95,89;;
ЦДУ-01123;Стілець офісний ИЗО хром С11;;;95,89;;
ЦДУ-01124;Стілець офісний ИЗО хром С11;;;95,89;;
ЦДУ-01125;Стілець офісний ИЗО хром С11;;;95,89;;
ЦДУ-01126;Стрепінг машина;;;0,01;;
ЦДУ-01127;Стрічкова пила SMALL 300;;;0,01;;
ЦДУ-01128;Таль електрична міні 220В,50Гц,500кг*12м;;;1 048,64;;
ЦДУ-01129;Таль ручна ланцюгова 2тх3м;;;336,37;;
ЦДУ-01130;Таль ручна ланцюгова 2тх3м;;;449,39;;
ЦДУ-01131;Таль ручна шестерні стаціонарна г / п-2,0тн, Н-6,0;;;857,08;;
ЦДУ-01132;Телевізор Romsat 55UMT16512T2;;;2 499,98;;
ЦДУ-01133;Телефон NOKIA 2220;;;295,44;;
ЦДУ-01134;Телефон Panasonic;;;195,04;;
ЦДУ-01135;Телефон SIP-W52P;;;744,75;;
ЦДУ-01136;Телефон SIP-Т19 Е2;;;341,31;;
ЦДУ-01137;Телефон SIP-Т19 Е2;;;354,61;;
ЦДУ-01138;Телефон SIP-Т19 Е2;;;323,77;;
ЦДУ-01139;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01140;Телефон SIP-Т19 Е2;;;344,58;;
ЦДУ-01141;Телефон SIP-Т19 Е2;;;369,42;;
ЦДУ-01142;Телефон SIP-Т19 Е2;;;369,42;;
ЦДУ-01143;Телефон SIP-Т19 Е2;;;354,61;;
ЦДУ-01144;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01145;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01146;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01147;Телефон SIP-Т19 Е2;;;354,84;;
ЦДУ-01148;Телефон SIP-Т19 Е2;;;465,90;;
ЦДУ-01149;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01150;Телефон SIP-Т19 Е2;;;372,17;;
ЦДУ-01151;Телефон SIP-Т19 Е2;;;312,13;;
ЦДУ-01152;Телефон SIP-Т19 Е2;;;465,94;;
ЦДУ-01153;Телефон SIP-Т19 Е2;;;312,13;;
ЦДУ-01154;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01155;Телефон SIP-Т19 Е2;;;323,72;;
ЦДУ-01156;Телефон SIP-Т19 Е2;;;465,90;;
ЦДУ-01157;Телефон SIP-Т19 Е2;;;372,17;;
ЦДУ-01158;Телефон SIP-Т19 Е2;;;372,17;;
ЦДУ-01159;Телефон SIP-Т21P Е2;;;425,98;;
ЦДУ-01160;Телефон Yealink SIP-Т19 Е2;;;369,42;;
ЦДУ-01161;Телефон Yealink SIP-Т19 Е2;;;369,42;;
ЦДУ-01162;Телефон-SIP-T19 E2;;;376,38;;
ЦДУ-01163;Телефон-SIP-T19 E2;;;376,38;;
ЦДУ-01164;Телефон-SIP-T19P;;;430,92;;
ЦДУ-01165;Телефон-SIP-T19PE2;;;370,15;;
ЦДУ-01166;Телефон-SIP-T19PE2;;;378,72;;
ЦДУ-01167;Телефон-SIP-T19PE2;;;412,73;;
ЦДУ-01168;Телефон-SIP-T21;;;385,00;;
ЦДУ-01169;Телефон-SIP-T21;;;385,00;;
ЦДУ-01170;Телефон-SIP-T21;;;385,00;;
ЦДУ-01171;Телефон-SIP-T21PE2;;;446,92;;
ЦДУ-01172;Телефон-SIP-W52Р;;;870,33;;
ЦДУ-01173;Телефон-SIP-Т19 E2;;;344,58;;
ЦДУ-01174;Тепловентилятор 12/6 кВт №1;;;1 176,08;;
ЦДУ-01175;Тепловентилятор 12/6 кВт №2;;;1 176,08;;
ЦДУ-01176;Тепловентилятор 12/6 кВт №3;;;1 176,08;;
